instrument,timeframe,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,9386.0,4337.0,0.46207116982740254,0.4168780262854508,0.4590730919990777,0.2968357609241587,5.9912381830758585
ES,4h,4725.0,2149.0,0.45481481481481484,0.42624476500698,0.4783620288506282,0.30739299610894943,5.905537459283388
NQ,1h,12610.0,5730.0,0.4544012688342585,0.43228621291448516,0.44171029668411865,0.2852627419992098,6.116928446771379
NQ,4h,6036.0,2802.0,0.46421471172962225,0.4254104211277659,0.4750178443968594,0.3418482344102179,5.915417558886509
