instrument,timeframe,level_type,t,price,vwap_distance_norm,vol_forecast_pct_of_price,atr_distance,bounced
NQ,1h,VWAP,150,3548.1186136240135,0.0,0.001636447098032396,1.6014274732105693,0
NQ,1h,TDA,150,3547.878062360802,-0.041580101061178466,0.001636447098032396,1.5714922048997766,0
NQ,1h,TDA,150,3510.6666666666665,-6.473695954170571,0.001636447098032396,-3.059259259259278,0
NQ,1h,TDA,150,3548.1283632286995,0.001685252210854106,0.001636447098032396,1.6026407573492742,0
NQ,1h,TDA,150,3548.058988764045,-0.010306359110952503,0.001636447098032396,1.5940074906366983,0
NQ,1h,TDA,150,3556.6306451612904,1.4713334980261172,0.001636447098032396,2.6607025089605867,0
NQ,1h,TDA,150,3528.375925925926,-3.4125904754997123,0.001636447098032396,-0.8554403292181086,0
NQ,1h,GMM,150,3550.231762645512,0.36526496971208294,0.001636447098032396,1.864397129219263,0
NQ,1h,GMM,150,3529.1658758180974,-3.2760449595410246,0.001636447098032396,-0.7571354537478732,0
NQ,1h,GMM,150,3561.4532523634566,2.3049374964717195,0.001636447098032396,3.2608491830079336,1
NQ,1h,VWAP,170,3553.5413075650736,0.0,0.0013491528388354715,0.06912382900050727,0
NQ,1h,TDA,170,3546.8864142538973,-1.3882068436856019,0.0013491528388354715,-1.5100033973802949,0
NQ,1h,TDA,170,3547.1300448430493,-1.3373856456020925,0.0013491528388354715,-1.452192749106948,0
NQ,1h,TDA,170,3510.6666666666665,-8.943624958761577,0.0013491528388354715,-10.104519774011335,0
NQ,1h,TDA,170,3528.534420289855,-5.216422026846445,0.0013491528388354715,-5.864713829525931,0
NQ,1h,TDA,170,3555.4618506493507,0.40062416157883574,0.0013491528388354715,0.5248459167950833,0
NQ,1h,GMM,170,3529.5699691543873,-5.000407140732438,0.0013491528388354715,-5.618990370145384,0
NQ,1h,GMM,170,3550.745749596087,-0.5831517536050381,0.0013491528388354715,-0.5942289094030657,1
NQ,1h,GMM,170,3563.2773187524813,2.0309262265498464,0.0013491528388354715,2.3793637717752185,1
NQ,1h,TDA,190,3543.7099109131404,8.042354198604311,0.001206714342074851,6.991431340213225,0
NQ,1h,GMM,190,3513.2695208490736,0.8575504631349137,0.001206714342074851,0.4850884257561925,0
NQ,1h,GMM,190,3550.5817270087528,9.664299576088014,0.001206714342074851,8.460216459886084,0
NQ,1h,GMM,190,3531.0139025915173,5.045732676253105,0.001206714342074851,4.277780706583852,0
NQ,1h,GMM,190,3564.2798781764072,12.897455507114206,0.001206714342074851,11.38806556442292,0
NQ,1h,VWAP,230,3599.0469236968797,0.0,0.001254372697223074,-0.38372143289032146,0
NQ,1h,TDA,230,3601.092857142857,0.45287827773104217,0.001254372697223074,-0.06368715083798679,0
NQ,1h,TDA,230,3585.375,-3.026353212655498,0.001254372697223074,-2.5223463687150836,1
NQ,1h,GMM,230,3601.072497120524,0.4483714782225344,0.001254372697223074,-0.06687195880070314,0
NQ,1h,GMM,230,3585.366158575592,-3.0283103090930066,0.001254372697223074,-2.5237293848235693,1
NQ,1h,VWAP,250,3600.791099669576,0.0,0.0016881071350943171,0.6225429572441781,0
NQ,1h,TDA,250,3600.8289473684213,0.006233893939951158,0.0016881071350943171,0.6280338151077487,0
