instrument,timeframe,level_type,t,price,vwap_distance_norm,vol_forecast_pct_of_price,atr_distance,bounced
NQ,1h,VWAP,150,3548.1186136240135,0.0,0.001636447098032396,1.6014274732105693,0
NQ,1h,GMM,150,3550.231762645512,0.36526496971208294,0.001636447098032396,1.864397129219263,0
NQ,1h,GMM,150,3529.1658758180974,-3.2760449595410246,0.001636447098032396,-0.7571354537478732,0
NQ,1h,GMM,150,3561.4532523634566,2.3049374964717195,0.001636447098032396,3.2608491830079336,1
NQ,1h,TDA,150,3547.878062360802,-0.041580101061178466,0.001636447098032396,1.5714922048997766,0
NQ,1h,TDA,150,3510.6666666666665,-6.473695954170571,0.001636447098032396,-3.059259259259278,0
NQ,1h,TDA,150,3548.1283632286995,0.001685252210854106,0.001636447098032396,1.6026407573492742,0
NQ,1h,TDA,150,3548.058988764045,-0.010306359110952503,0.001636447098032396,1.5940074906366983,0
NQ,1h,TDA,150,3556.6306451612904,1.4713334980261172,0.001636447098032396,2.6607025089605867,0
NQ,1h,TDA,150,3528.375925925926,-3.4125904754997123,0.001636447098032396,-0.8554403292181086,0
NQ,1h,HDBSCAN,150,3515.775,-5.590703225642505,0.001636447098032396,-2.423555555555544,0
NQ,1h,HDBSCAN,150,3519.785714285714,-4.897437669266182,0.001636447098032396,-1.9244444444444524,0
NQ,1h,HDBSCAN,150,3525.1710526315787,-3.9665636855673565,0.001636447098032396,-1.25426900584798,0
NQ,1h,HDBSCAN,150,3560.185344827586,2.0857753820274274,0.001636447098032396,3.103065134099597,0
NQ,1h,HDBSCAN,150,3537.2083333333335,-1.8858789225852688,0.001636447098032396,0.24370370370372255,0
NQ,1h,HDBSCAN,150,3529.5,-3.2182904623706503,0.001636447098032396,-0.7155555555555555,0
NQ,1h,HDBSCAN,150,3545.6875,-0.42022622882140415,0.001636447098032396,1.2988888888888888,0
NQ,1h,OPTICS,150,3551.5,0.5844840944221475,0.001636447098032396,2.022222222222222,0
NQ,1h,OPTICS,150,3560.25,2.0969512476920102,0.001636447098032396,3.1111111111111107,0
NQ,1h,OPTICS,150,3532.0,-2.7861569900078322,0.001636447098032396,-0.4044444444444444,0
NQ,1h,OPTICS,150,3547.25,-0.15014280859464293,0.001636447098032396,1.4933333333333332,0
NQ,1h,OPTICS,150,3534.25,-2.3972368648812963,0.001636447098032396,-0.12444444444444443,1
NQ,1h,OPTICS,150,3563.875,2.723544782618096,0.001636447098032396,3.5622222222222217,1
NQ,1h,OPTICS,150,3545.5,-0.45263623924861546,0.001636447098032396,1.2755555555555553,0
NQ,1h,OPTICS,150,3528.75,-3.3479305040794953,0.001636447098032396,-0.8088888888888888,0
NQ,1h,KDE,150,3552.1636636636636,0.6992006078061322,0.001636447098032396,2.1048114781447977,0
NQ,1h,KDE,150,3532.1463963963965,-2.760851876761336,0.001636447098032396,-0.38622622622620834,0
NQ,1h,MeanShift,150,3550.9112903225805,0.48272363157539405,0.001636447098032396,1.9489605734766842,0
NQ,1h,MeanShift,150,3561.178899082569,2.2575146021020696,0.001636447098032396,3.2267074413863557,1
NQ,1h,MeanShift,150,3532.5102739726026,-2.6979544045529815,0.001636447098032396,-0.3409436834094554,1
NQ,1h,MeanShift,150,3523.2125,-4.305106145363122,0.001636447098032396,-1.4979999999999885,0
NQ,1h,Isolation-Forest,150,3537.25,-1.8786766980459146,0.001636447098032396,0.24888888888888885,0
NQ,1h,Isolation-Forest,150,3529.25,-3.261503809606932,0.001636447098032396,-0.7466666666666666,0
NQ,1h,Isolation-Forest,150,3537.25,-1.8786766980459146,0.001636447098032396,0.24888888888888885,0
NQ,1h,Isolation-Forest,150,3538.0,-1.7490366563370692,0.001636447098032396,0.3422222222222222,0
NQ,1h,VWAP,170,3553.5413075650736,0.0,0.0013491528388354715,0.06912382900050727,0
NQ,1h,GMM,170,3529.5699691543873,-5.000407140732438,0.0013491528388354715,-5.618990370145384,0
NQ,1h,GMM,170,3550.745749596087,-0.5831517536050381,0.0013491528388354715,-0.5942289094030657,1
NQ,1h,GMM,170,3563.2773187524813,2.0309262265498464,0.0013491528388354715,2.3793637717752185,1
NQ,1h,TDA,170,3546.8864142538973,-1.3882068436856019,0.0013491528388354715,-1.5100033973802949,0
NQ,1h,TDA,170,3547.1300448430493,-1.3373856456020925,0.0013491528388354715,-1.452192749106948,0
NQ,1h,TDA,170,3510.6666666666665,-8.943624958761577,0.0013491528388354715,-10.104519774011335,0
NQ,1h,TDA,170,3528.534420289855,-5.216422026846445,0.0013491528388354715,-5.864713829525931,0
NQ,1h,TDA,170,3555.4618506493507,0.40062416157883574,0.0013491528388354715,0.5248459167950833,0
NQ,1h,HDBSCAN,170,3568.45,3.1099445026129726,0.0013491528388354715,3.606779661016906,0
NQ,1h,HDBSCAN,170,3543.7291666666665,-2.0468068396379033,0.0013491528388354715,-2.259180790960488,0
NQ,1h,HDBSCAN,170,3550.5,-0.6344149752930743,0.0013491528388354715,-0.6525423728813559,1
NQ,1h,HDBSCAN,170,3553.6911764705883,0.031262565838855845,0.0013491528388354715,0.10468594217349225,0
NQ,1h,HDBSCAN,170,3547.2758620689656,-1.3069682577524195,0.0013491528388354715,-1.4175920514318963,0
NQ,1h,HDBSCAN,170,3545.695652173913,-1.6365991155586086,0.0013491528388354715,-1.7925571112748804,0
NQ,1h,HDBSCAN,170,3529.050469924812,-5.108774375497032,0.0013491528388354715,-5.742261373773375,0
NQ,1h,HDBSCAN,170,3573.2258064516127,4.106174928893847,0.0013491528388354715,4.740021869874199,0
NQ,1h,OPTICS,170,3553.0,-0.11291644076576451,0.0013491528388354715,-0.059322033898305086,1
NQ,1h,OPTICS,170,3532.0,-4.493504130795167,0.0013491528388354715,-5.042372881355932,0
NQ,1h,OPTICS,170,3547.25,-1.3123630701785771,0.0013491528388354715,-1.423728813559322,0
NQ,1h,OPTICS,170,3560.0,1.347279455910703,0.0013491528388354715,1.6016949152542372,0
NQ,1h,OPTICS,170,3534.25,-4.024155449720588,0.0013491528388354715,-4.508474576271186,0
NQ,1h,OPTICS,170,3557.0,0.7214812144779312,0.0013491528388354715,0.8898305084745762,0
NQ,1h,OPTICS,170,3563.75,2.129527257701668,0.0013491528388354715,2.4915254237288136,1
NQ,1h,OPTICS,170,3545.5,-1.677412044347694,0.0013491528388354715,-1.8389830508474576,0
NQ,1h,KDE,170,3551.8235735735734,-0.3583183037100307,0.0013491528388354715,-0.3384740672876648,1
NQ,1h,KDE,170,3532.4954954954956,-4.39014406088884,0.0013491528388354715,-4.924797679034952,0
NQ,1h,MeanShift,170,3551.192028985507,-0.4900581345761411,0.0013491528388354715,-0.4883321051339269,1
NQ,1h,MeanShift,170,3560.975,1.550663884376335,0.0013491528388354715,1.8330508474576055,1
NQ,1h,MeanShift,170,3533.5333333333333,-4.1736516962850905,0.0013491528388354715,-4.678531073446335,0
NQ,1h,MeanShift,170,3523.326923076923,-6.302702892886109,0.0013491528388354715,-7.100391134289489,0
NQ,1h,MeanShift,170,3509.4375,-9.200028404904138,0.0013491528388354715,-10.396186440677965,0
NQ,1h,Isolation-Forest,170,3537.25,-3.3983572082878166,0.0013491528388354715,-3.7966101694915255,0
NQ,1h,Isolation-Forest,170,3537.25,-3.3983572082878166,0.0013491528388354715,-3.7966101694915255,0
NQ,1h,Isolation-Forest,170,3572.0,3.8504724216417903,0.0013491528388354715,4.4491525423728815,1
NQ,1h,Isolation-Forest,170,3538.0,-3.2419076479296236,0.0013491528388354715,-3.61864406779661,0
NQ,1h,Isolation-Forest,170,3563.75,2.129527257701668,0.0013491528388354715,2.4915254237288136,1
NQ,1h,GMM,190,3513.2695208490736,0.8575504631349137,0.001206714342074851,0.4850884257561925,0
NQ,1h,GMM,190,3550.5817270087528,9.664299576088014,0.001206714342074851,8.460216459886084,0
NQ,1h,GMM,190,3531.0139025915173,5.045732676253105,0.001206714342074851,4.277780706583852,0
NQ,1h,GMM,190,3564.2798781764072,12.897455507114206,0.001206714342074851,11.38806556442292,0
NQ,1h,TDA,190,3543.7099109131404,8.042354198604311,0.001206714342074851,6.991431340213225,0
NQ,1h,HDBSCAN,190,3515.3958333333335,1.359421097759906,0.001206714342074851,0.9395674300254776,0
NQ,1h,HDBSCAN,190,3568.5,13.893525103412749,0.001206714342074851,12.290076335877862,0
NQ,1h,HDBSCAN,190,3545.6041666666665,8.489452799680851,0.001206714342074851,7.396310432569941,0
NQ,1h,HDBSCAN,190,3553.733333333333,10.408168916983998,0.001206714342074851,9.133842239185705,0
NQ,1h,HDBSCAN,190,3550.5989583333335,9.668366662119244,0.001206714342074851,8.46389949109418,0
NQ,1h,HDBSCAN,190,3522.63125,3.067186621951,0.001206714342074851,2.4860687022900567,0
NQ,1h,HDBSCAN,190,3573.637931034483,15.106223955544483,0.001206714342074851,13.388260068439068,0
NQ,1h,HDBSCAN,190,3547.282608695652,8.885613181799581,0.001206714342074851,7.755061400597377,0
NQ,1h,OPTICS,190,3553.0,10.235081250840862,0.001206714342074851,8.977099236641221,0
NQ,1h,OPTICS,190,3547.25,8.877916595854515,0.001206714342074851,7.748091603053434,0
NQ,1h,OPTICS,190,3556.75,11.120188634527608,0.001206714342074851,9.778625954198473,0
