instrument,timeframe,method,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,Prior-Day-HL,10737.0,6626.0,0.6171183757101611,0.43631150015092063,0.4498943555689707,0.32707145253270714,6.163145185632358
ES,1h,Prior-Month-HL,7122.0,1136.0,0.15950575680988485,0.4278169014084507,0.4242957746478873,0.32987551867219916,6.180457746478873
ES,1h,Prior-Week-HL,7158.0,2168.0,0.3028778988544286,0.4146678966789668,0.4423431734317343,0.30656934306569344,6.054428044280443
ES,1h,Random,28632.0,11766.0,0.4109388097233864,0.42078871324154343,0.4527451980282169,0.31387272385958326,6.040455549889512
ES,1h,Round-Numbers,30047.0,8607.0,0.2864512264119546,0.4169861740443825,0.4491692808179389,0.322296947749612,5.943418148019054
ES,1h,Session-Open,3579.0,2588.0,0.7231070131321599,0.45401854714064915,0.43353941267387947,0.36185383244206776,6.422720247295208
ES,1h,VWAP,25053.0,19969.0,0.797070211152357,0.441033602083229,0.4442385697831639,0.36478412805771615,6.393910561370124
ES,4h,Prior-Day-HL,2781.0,2172.0,0.7810140237324703,0.43370165745856354,0.47375690607734805,0.37026239067055394,6.140423572744015
ES,4h,Prior-Month-HL,1854.0,534.0,0.28802588996763756,0.44569288389513106,0.4101123595505618,0.3789954337899543,6.372659176029963
ES,4h,Prior-Week-HL,1854.0,928.0,0.5005393743257821,0.44504310344827586,0.45689655172413796,0.33490566037735847,6.21875
ES,4h,Random,7416.0,2966.0,0.39994606256742177,0.4356035064059339,0.46392447741065407,0.345203488372093,5.96931894807822
ES,4h,Round-Numbers,7796.0,3892.0,0.49923037455105185,0.41957862281603286,0.4671120246659815,0.3371837183718372,6.012846865364851
ES,4h,Session-Open,927.0,785.0,0.8468176914778857,0.4369426751592357,0.4585987261146497,0.38333333333333336,6.3401273885350315
ES,4h,VWAP,6489.0,5917.0,0.9118508244721837,0.4302856177116782,0.48301504140611795,0.3799860041987404,6.2007774209903666
NQ,1h,Prior-Day-HL,10734.0,6535.0,0.6088131171976896,0.434123947972456,0.45876052027543995,0.3125416944629753,6.076511094108645
NQ,1h,Prior-Month-HL,7120.0,1050.0,0.14747191011235955,0.41333333333333333,0.46095238095238095,0.27892561983471076,5.817142857142857
NQ,1h,Prior-Week-HL,7156.0,2159.0,0.30170486305198435,0.41685965724872626,0.4631773969430292,0.315,5.826771653543307
NQ,1h,Random,28624.0,11544.0,0.4032979318054779,0.42021829521829523,0.4553014553014553,0.2853881278538813,5.927494802494802
NQ,1h,Round-Numbers,91386.0,33976.0,0.3717856126759022,0.41691193783847424,0.4544384271250294,0.2900906735751295,5.915793501295032
NQ,1h,Session-Open,3578.0,2553.0,0.713527110117384,0.43478260869565216,0.4555424990207599,0.33877901977644026,6.186055620838229
NQ,1h,VWAP,25046.0,19899.0,0.7944981234528468,0.43720789989446707,0.45137946630483944,0.3492540636829214,6.30634705261571
NQ,4h,Prior-Day-HL,2781.0,2094.0,0.7529665587918015,0.4407831900668577,0.4789875835721108,0.37188434695912265,6.086914995224451
NQ,4h,Prior-Month-HL,1854.0,511.0,0.2756202804746494,0.4187866927592955,0.46771037181996084,0.3389121338912134,5.859099804305283
NQ,4h,Prior-Week-HL,1854.0,936.0,0.5048543689320388,0.40705128205128205,0.46474358974358976,0.36091954022988504,5.933760683760684
NQ,4h,Random,7416.0,2981.0,0.40196871628910463,0.4270379067427038,0.4646091915464609,0.3516245487364621,5.950352230795035
NQ,4h,Round-Numbers,23765.0,14301.0,0.6017673048600883,0.41584504580099296,0.4797566603734005,0.34266141961813146,5.958814068946228
NQ,4h,Session-Open,927.0,750.0,0.8090614886731392,0.4533333333333333,0.47733333333333333,0.39385474860335196,6.218666666666667
NQ,4h,VWAP,6489.0,5813.0,0.8958237016489443,0.4273180801651471,0.48529158782040255,0.37362637362637363,6.169447789437468
