instrument,timeframe,method,n_levels_generated,n_touched,touch_rate,support_accuracy,break_rate,false_breakout_recovery,avg_hold_duration_bars
ES,1h,Random,28632.0,11766.0,0.4109388097233864,0.42078871324154343,0.4527451980282169,0.31387272385958326,6.040455549889512
ES,4h,Random,7416.0,2966.0,0.39994606256742177,0.4356035064059339,0.46392447741065407,0.345203488372093,5.96931894807822
NQ,1h,Random,28624.0,11544.0,0.4032979318054779,0.42021829521829523,0.4553014553014553,0.2853881278538813,5.927494802494802
NQ,4h,Random,7416.0,2981.0,0.40196871628910463,0.4270379067427038,0.4646091915464609,0.3516245487364621,5.950352230795035
