instrument,timeframe,level_type,t,price,vwap_distance_norm,vol_forecast_pct_of_price,atr_distance,bounced,fold,pred_proba
ES,1h,KDE,14050,2086.9992492492493,1.25971427776425,0.0013327632720085,0.740182490182493,1,1,0.4069724604090773
ES,1h,MeanShift,14050,2087.198148148148,1.331317003071136,0.0013327632720085,0.793732193732152,1,1,0.3983119579103101
ES,1h,KDE,14050,2076.5635635635635,-2.497086487239466,0.0013327632720085,-2.0694251944251985,1,1,0.4679979945257234
ES,1h,MeanShift,14050,2075.277777777778,-2.959963692356563,0.0013327632720085,-2.415598290598277,1,1,0.46782846441641285
ES,1h,Isolation-Forest,14050,2075.0,-3.059962465747006,0.0013327632720085,-2.4903846153846154,1,1,0.47820661609134635
ES,1h,Isolation-Forest,14050,2084.25,0.2699966881541475,0.0013327632720085,0.0,1,1,0.42376706265341185
ES,1h,Isolation-Forest,14050,2088.75,1.889976817079033,0.0013327632720085,1.2115384615384617,1,1,0.3978567459746678
ES,1h,Isolation-Forest,14050,2089.0,1.979975713130416,0.0013327632720085,1.2788461538461535,1,1,0.39643252190136435
ES,1h,OPTICS,14050,2077.5,-2.1599735052331805,0.0013327632720085,-1.8173076923076923,1,1,0.4556025358343867
ES,1h,MeanShift,14050,2079.53125,-1.4287324748156975,0.0013327632720085,-1.2704326923076923,0,1,0.44273401662826084
ES,1h,OPTICS,14050,2075.0,-3.059962465747006,0.0013327632720085,-2.4903846153846154,1,1,0.47039154937216526
ES,1h,HDBSCAN,14050,2082.3611111111118,-0.4099949709006699,0.0013327632720085,-0.5085470085469541,0,1,0.4362169944916044
ES,1h,OPTICS,14050,2088.75,1.889976817079033,0.0013327632720085,1.2115384615384617,1,1,0.3903724053156789
ES,1h,OPTICS,14050,2086.0,0.8999889605138253,0.0013327632720085,0.4711538461538461,0,1,0.4060516035840113
ES,1h,GMM,14050,2075.514693021961,-2.8746752506195765,0.0013327632720085,-2.351813417164294,1,1,0.4802240508167581
ES,1h,TDA,14050,2085.120203160271,0.5832659832134419,0.0013327632720085,0.2342854662268354,1,1,0.400838869579062
ES,1h,TDA,14050,2086.976426799008,1.2514982964565164,0.0013327632720085,0.7340379843482109,1,1,0.39027915030949784
ES,1h,GMM,14050,2086.67476028332,1.14289968290621,0.0013327632720085,0.6528200762783959,1,1,0.4146698308572671
ES,1h,VWAP,14050,2083.5,0.0,0.0013327632720085,-0.2019230769230769,0,1,0.4753137453346649
ES,1h,HDBSCAN,14050,2089.926470588235,2.3135010337913635,0.0013327632720085,1.5282805429863822,1,1,0.39256484941370073
ES,1h,HDBSCAN,14050,2074.672,-3.178041017366411,0.0013327632720085,-2.5786923076923007,1,1,0.4816155522547076
ES,1h,HDBSCAN,14050,2077.442857142857,-2.1805446814735245,0.0013327632720085,-1.8326923076923287,1,1,0.46518090970278847
ES,1h,HDBSCAN,14050,2086.3653846153848,1.0315258085889731,0.0013327632720085,0.5695266272189725,1,1,0.4129437235733966
ES,1h,OPTICS,14070,2082.5,1.4053516743717387,0.0015237146704355,0.0,0,1,0.40437378824965764
ES,1h,Isolation-Forest,14070,2085.75,2.42957509328912,0.0015237146704355,0.7428571428571429,1,1,0.39582125575389965
ES,1h,Isolation-Forest,14070,2089.0,3.4537985122065016,0.0015237146704355,1.4857142857142858,1,1,0.37992070784570353
ES,1h,Isolation-Forest,14070,2084.25,1.9568565922503287,0.0015237146704355,0.4,0,1,0.40323721233029364
ES,1h,MeanShift,14070,2086.4135220125786,2.6386811807507176,0.0015237146704355,0.894519317160822,1,1,0.3842358898521006
ES,1h,KDE,14070,2086.0633133133133,2.528314426505761,0.0015237146704355,0.8144716144716118,1,1,0.3933828723838572
ES,1h,OPTICS,14070,2083.25,1.6417109248911343,0.0015237146704355,0.1714285714285714,0,1,0.400656611749274
ES,1h,OPTICS,14070,2088.75,3.3750120953667038,0.0015237146704355,1.4285714285714286,1,1,0.37377015727784313
ES,1h,OPTICS,14070,2086.0,2.508361510128919,0.0015237146704355,0.8,1,1,0.38712741317791594
ES,1h,HDBSCAN,14070,2084.3636363636365,1.9926685999048217,0.0015237146704355,0.4259740259740543,0,1,0.40408246550369187
ES,1h,HDBSCAN,14070,2082.5,1.4053516743717387,0.0015237146704355,0.0,0,1,0.41336382913961034
ES,1h,HDBSCAN,14070,2081.8888888888887,1.212762655429945,0.0015237146704355,-0.1396825396825858,1,1,0.4164211079125601
ES,1h,TDA,14070,2087.723945409429,3.0516554366743143,0.0015237146704355,1.1940446650123964,1,1,0.3687637021110586
ES,1h,TDA,14070,2085.8002257336343,2.4454035156339087,0.0015237146704355,0.7543373105449843,1,1,0.3780391606757692
ES,1h,GMM,14070,2085.782907690694,2.4399458094341853,0.0015237146704355,0.7503789007300968,1,1,0.40053055728551246
ES,1h,VWAP,14070,2078.0406282873946,0.0,0.0015237146704355,-1.0192849628812315,1,1,0.4816651240981605
ES,1h,HDBSCAN,14070,2086.815789473684,2.76545402823772,0.0015237146704355,0.9864661654135228,1,1,0.3919748967654297
ES,1h,OPTICS,14090,2083.25,-0.6466705379735688,0.0012606634386681,-0.1081081081081081,0,1,0.4265196937802788
ES,1h,OPTICS,14090,2084.75,-0.0756568903653412,0.0012606634386681,0.2162162162162162,0,1,0.4180926147656509
ES,1h,OPTICS,14090,2084.0,-0.361163714169455,0.0012606634386681,0.054054054054054,0,1,0.4223004998538463
ES,1h,OPTICS,14090,2085.0,0.0195120509026966,0.0012606634386681,0.2702702702702703,0,1,0.4166925998532472
ES,1h,OPTICS,14090,2087.0,0.7808635810469999,0.0012606634386681,0.7027027027027027,1,1,0.4055425744453975
ES,1h,KDE,14090,2085.51026026026,0.2137557658631295,0.0012606634386681,0.3805968130292131,1,1,0.4205483596321312
ES,1h,Isolation-Forest,14090,2084.25,-0.2659947729014171,0.0012606634386681,0.1081081081081081,0,1,0.4285547498208438
ES,1h,MeanShift,14090,2084.3391608391607,-0.2320534022394271,0.0012606634386681,0.127386127386106,0,1,0.41949927998572
ES,1h,MeanShift,14090,2076.958333333333,-3.0417555598857984,0.0012606634386681,-1.4684684684684357,1,1,0.46136286421777006
ES,1h,Isolation-Forest,14090,2089.0,1.5422151111913032,0.0012606634386681,1.135135135135135,0,1,0.40200034966373144
ES,1h,Isolation-Forest,14090,2075.0,-3.78724559981882,0.0012606634386681,-1.891891891891892,1,1,0.4813253598596909
ES,1h,OPTICS,14090,2088.75,1.4470461699232653,0.0012606634386681,1.0810810810810811,0,1,0.3958651707051139
ES,1h,Isolation-Forest,14090,2091.25,2.3987355826036443,0.0012606634386681,1.6216216216216215,0,1,0.3896099374839342
ES,1h,MeanShift,14090,2086.7604166666665,0.6896600123317392,0.0012606634386681,0.6509009009008682,1,1,0.405985094415538
ES,1h,OPTICS,14090,2086.0,0.4001878159748482,0.0012606634386681,0.4864864864864865,1,1,0.4111061749198279
ES,1h,Isolation-Forest,14090,2085.75,0.3050188747068103,0.0012606634386681,0.4324324324324324,1,1,0.4201169181060368
ES,1h,HDBSCAN,14090,2086.0,0.4001878159748482,0.0012606634386681,0.4864864864864865,1,1,0.42014031353056974
ES,1h,OPTICS,14090,2082.5,-0.9321773617776824,0.0012606634386681,-0.2702702702702703,0,1,0.4307496104189667
ES,1h,VWAP,14090,2084.948743648288,0.0,0.0012606634386681,0.2591878158460973,0,1,0.47173401019421346
ES,1h,GMM,14090,2085.929143609174,0.3732145051868842,0.0012606634386681,0.4711661857673371,1,1,0.4240698183668152
ES,1h,GMM,14090,2080.141109529952,-1.830149796184865,0.0012606634386681,-0.780300642172684,1,1,0.45690802654065993
