instrument,timeframe,fold,level_type,n,unconditional_acc,filtered_acc,n_filtered
ES,4h,3,HDBSCAN,608,0.44243421052631576,0.5032894736842105,304
ES,4h,3,Isolation-Forest,284,0.3767605633802817,0.4014084507042254,142
ES,4h,3,KDE,179,0.39106145251396646,0.4777777777777778,90
ES,4h,3,MeanShift,394,0.41624365482233505,0.4720812182741117,197
ES,4h,3,OPTICS,683,0.404099560761347,0.48830409356725146,342
ES,4h,3,TDA,450,0.4822222222222222,0.56,225
ES,4h,3,VWAP,170,0.38823529411764707,0.4235294117647059,85
ES,4h,4,GMM,284,0.4225352112676056,0.43661971830985913,142
ES,4h,4,HDBSCAN,613,0.43882544861337686,0.5309446254071661,307
ES,4h,4,Isolation-Forest,280,0.4357142857142857,0.5285714285714286,140
ES,4h,4,KDE,176,0.39204545454545453,0.3977272727272727,88
ES,4h,4,MeanShift,369,0.44173441734417346,0.518918918918919,185
ES,4h,4,OPTICS,689,0.40493468795355586,0.48405797101449277,345
ES,4h,4,TDA,472,0.451271186440678,0.5211864406779662,236
ES,4h,4,VWAP,178,0.47191011235955055,0.5168539325842697,89
NQ,1h,1,GMM,1163,0.43938091143594155,0.4948453608247423,582
NQ,1h,1,HDBSCAN,2421,0.42627013630731103,0.47068538398018167,1211
NQ,1h,1,Isolation-Forest,1003,0.47258225324027914,0.5239043824701195,502
NQ,1h,1,KDE,722,0.45013850415512463,0.5013850415512465,361
NQ,1h,1,MeanShift,1539,0.442495126705653,0.4909090909090909,770
NQ,1h,1,OPTICS,2536,0.43296529968454256,0.49290220820189273,1268
NQ,1h,1,TDA,1882,0.43304994686503717,0.4867162592986185,941
NQ,1h,1,VWAP,608,0.4506578947368421,0.4868421052631579,304
NQ,1h,2,GMM,1171,0.43125533731853116,0.4726962457337884,586
NQ,1h,2,HDBSCAN,2498,0.43434747798238593,0.4867894315452362,1249
NQ,1h,2,Isolation-Forest,929,0.4402583423035522,0.4817204301075269,465
NQ,1h,2,KDE,696,0.4339080459770115,0.49137931034482757,348
NQ,1h,2,MeanShift,1485,0.4249158249158249,0.48183041722745623,743
NQ,1h,2,OPTICS,2729,0.4254305606449249,0.4747252747252747,1365
NQ,1h,2,TDA,1802,0.45172031076581576,0.5249722530521642,901
NQ,1h,2,VWAP,603,0.43781094527363185,0.4470198675496689,302
NQ,1h,3,GMM,1219,0.4077112387202625,0.43278688524590164,610
NQ,1h,3,HDBSCAN,2314,0.3794295592048401,0.4105445116681072,1157
NQ,1h,3,Isolation-Forest,1017,0.41002949852507375,0.449901768172888,509
NQ,1h,3,KDE,727,0.41815680880330125,0.44505494505494503,364
NQ,1h,3,MeanShift,1491,0.4024144869215292,0.42761394101876676,746
NQ,1h,3,OPTICS,2519,0.38189757840412863,0.41349206349206347,1260
NQ,1h,3,TDA,2011,0.4062655395325709,0.4433399602385686,1006
NQ,1h,3,VWAP,596,0.4312080536912752,0.44966442953020136,298
NQ,1h,4,GMM,1217,0.4322103533278554,0.47619047619047616,609
NQ,1h,4,HDBSCAN,2327,0.43102707348517405,0.47680412371134023,1164
NQ,1h,4,Isolation-Forest,1005,0.41691542288557215,0.4711729622266402,503
NQ,1h,4,KDE,742,0.4191374663072776,0.4555256064690027,371
NQ,1h,4,MeanShift,1518,0.4321475625823452,0.4888010540184453,759
NQ,1h,4,OPTICS,2592,0.44483024691358025,0.4853395061728395,1296
NQ,1h,4,TDA,1896,0.44462025316455694,0.5073839662447257,948
NQ,1h,4,VWAP,604,0.445364238410596,0.5,302
NQ,4h,1,GMM,303,0.41254125412541254,0.5526315789473685,152
NQ,4h,1,HDBSCAN,623,0.38041733547351525,0.46794871794871795,312
NQ,4h,1,Isolation-Forest,271,0.4132841328413284,0.4632352941176471,136
NQ,4h,1,KDE,185,0.41621621621621624,0.5376344086021505,93
NQ,4h,1,MeanShift,394,0.4086294416243655,0.4873096446700508,197
NQ,4h,1,OPTICS,728,0.35027472527472525,0.45604395604395603,364
NQ,4h,1,TDA,396,0.41919191919191917,0.48484848484848486,198
NQ,4h,1,VWAP,159,0.4088050314465409,0.4375,80
NQ,4h,2,GMM,287,0.45993031358885017,0.5625,144
NQ,4h,2,HDBSCAN,579,0.48704663212435234,0.5620689655172414,290
NQ,4h,2,Isolation-Forest,290,0.44482758620689655,0.5655172413793104,145
NQ,4h,2,KDE,170,0.5294117647058824,0.611764705882353,85
NQ,4h,2,MeanShift,394,0.4796954314720812,0.5431472081218274,197
NQ,4h,2,OPTICS,647,0.49613601236476046,0.6111111111111112,324
NQ,4h,2,TDA,474,0.41350210970464135,0.5274261603375527,237
NQ,4h,2,VWAP,195,0.441025641025641,0.5102040816326531,98
NQ,4h,3,GMM,296,0.4594594594594595,0.5135135135135135,148
NQ,4h,3,HDBSCAN,583,0.4236706689536878,0.4623287671232877,292
